,username,Text
53,Muhamma87567343,"@elonmusk if shiba inu goes to at least a penny or higher, im buying everyone in my family a @Tesla mark my words!"
54,SebastjanPe,RT @elonmusk: Tesla Solar + Powerwall battery enables consumers to be their own utility
55,MaferJacksonR,"RT @elonmusk: Powerwall 2 peak &amp; steady power capability is better than advertised. 

Now that we have lots of operational data, Tesla can…"
56,WandZFoundation,"RT @elonmusk: Starting next week, Tesla Solar Panels &amp; Solar Roof will only be sold as an integrated product *with* Tesla Powerwall battery"
57,AlemKurtalic,"@elonmusk Take a lot 0f Crytp0 in our broadcast. We run in 5 minutes. 

Enter Right po1nting backhand &gt;&gt;/wvw.btcste… https://t.co/F4wlcDor2c"
58,AraaSena,"@elonmusk Get a l0t of Crypt in our stream. We start ib about 5 minutes. 

En1er Right pointing backhand /www.btcst… https://t.co/2nXOLMjDuI"
59,AlexisPottier7,RT @elonmusk: Tesla Solar + Powerwall battery enables consumers to be their own utility
60,drAdrianople,"RT @elonmusk: Starting next week, Tesla Solar Panels &amp; Solar Roof will only be sold as an integrated product *with* Tesla Powerwall battery"
61,KahiBradshaw,RT @elonmusk: Tesla Solar + Powerwall battery enables consumers to be their own utility
62,bigyettohappen,RT @elonmusk: Tesla Solar + Powerwall battery enables consumers to be their own utility
63,MaferJacksonR,"RT @elonmusk: Starting next week, Tesla Solar Panels &amp; Solar Roof will only be sold as an integrated product *with* Tesla Powerwall battery"
64,ArijoJames,"RT @alexgarcia_atx: Volkswagon, Ford, GM, Toyota, and BMW collectively spend $25B+ on advertising each year.

Tesla $0.

The result?

The m…"
65,RatCamper,@elonmusk Can we get these in Australia? Like through Tesla as a supply / installation company? Solar companies are… https://t.co/9w5BrHqOrG
66,bakkatakka,"@TheDesertLynx @DavidShares @btcfork or just stop using btc and pretend it will scale, it won't.  the problem is la… https://t.co/5LWYtbAqRt"
67,thach306,"RT @itsALLrisky: @elonmusk Like #Dogecoin, Tesla gives power back to the people! 🚀"
68,jackfarrington,@RationalEtienne @elonmusk @JohnnaCrider1 @WholeMarsBlog The 4 production Tesla models are literally the 4 safest v… https://t.co/zyVGrWeZIs
69,HadgiEnver,RT @elonmusk: Tesla Solar + Powerwall battery enables consumers to be their own utility
70,jjlyons66,RT @elonmusk: Tesla Solar + Powerwall battery enables consumers to be their own utility
